12/1/2016,12:49:18;01, 48.13357,0;02, .000006762707,0;03, 14.49308,0;04, .3698808,0;
12/1/2016,12:49:19;01, 48.13357,0;02, .000006762707,0;03, 14.49308,0;04, .3698808,0;
12/1/2016,12:49:20;01, 48.13357,0;02, .000007368906,0;03, 14.60528,0;04, .3698808,0;
12/1/2016,12:49:21;01, 48.14053,0;02, .000008292964,0;03, 14.56788,0;04, .3753972,0;
12/1/2016,12:49:22;01, 48.14053,0;02, .000008292964,0;03, 14.56788,0;04, .3753972,0;
12/1/2016,12:49:23;01, 48.13357,0;02, .000008035918,0;03, 14.47438,0;04, .3698808,0;
12/1/2016,12:49:24;01, 48.13357,0;02, .000008035918,0;03, 14.47438,0;04, .3698808,0;
12/1/2016,12:49:25;01, 48.12661,0;02, .000007241125,0;03, 14.54918,0;04, .3698808,0;
12/1/2016,12:49:26;01, 48.12661,0;02, .000008337709,0;03, 14.45568,0;04, .3753972,0;
12/1/2016,12:49:27;01, 48.12661,0;02, .000008337709,0;03, 14.45568,0;04, .3753972,0;
12/1/2016,12:49:28;01, 48.13357,0;02, .00001182352,0;03, 14.45568,0;04, .3753972,0;
12/1/2016,12:49:29;01, 48.13357,0;02, .00001182352,0;03, 14.45568,0;04, .3753972,0;
12/1/2016,12:49:30;01, 48.13357,0;02, .000008808229,0;03, 15.05406,0;04, .3753972,0;
12/1/2016,12:49:31;01, 48.13357,0;02, .000006777283,0;03, 14.47438,0;04, .3698808,0;
12/1/2016,12:49:32;01, 48.13357,0;02, .000006777283,0;03, 14.47438,0;04, .3698808,0;
12/1/2016,12:49:33;01, 48.12661,0;02, .000007374855,0;03, 14.56788,0;04, .3753972,0;
12/1/2016,12:49:34;01, 48.12661,0;02, .000007374855,0;03, 14.56788,0;04, .3753972,0;
12/1/2016,12:49:35;01, 48.12661,0;02, .000008193138,0;03, 14.45568,0;04, .3698808,0;
12/1/2016,12:49:36;01, 48.10575,0;02, .000006609774,0;03, 14.47438,0;04, .3753972,0;
12/1/2016,12:49:37;01, 48.10575,0;02, .000006609774,0;03, 14.47438,0;04, .3753972,0;
12/1/2016,12:49:38;01, 48.11966,0;02, .000007248921,0;03, 14.56788,0;04, .3698808,0;
12/1/2016,12:49:39;01, 48.11966,0;02, .000007248921,0;03, 14.56788,0;04, .3698808,0;
12/1/2016,12:49:40;01, 48.12661,0;02, .000005920877,0;03, 14.51178,0;04, .3698808,0;
12/1/2016,12:49:41;01, 48.12661,0;02, .000005668299,0;03, 14.47438,0;04, .3698808,0;
12/1/2016,12:49:42;01, 48.12661,0;02, .000005668299,0;03, 14.47438,0;04, .3698808,0;
12/1/2016,12:49:43;01, 48.11966,0;02, .000005919285,0;03, 14.60528,0;04, .3698808,0;
12/1/2016,12:49:44;01, 48.11966,0;02, .000005919285,0;03, 14.60528,0;04, .3698808,0;
12/1/2016,12:49:45;01, 48.13357,0;02, .00000549113,0;03, 14.49308,0;04, .3753972,0;
12/1/2016,12:49:46;01, 48.12661,0;02, .000006216408,0;03, 14.58658,0;04, .3753972,0;
12/1/2016,12:49:47;01, 48.12661,0;02, .000006216408,0;03, 14.58658,0;04, .3753972,0;
12/1/2016,12:49:48;01, 48.09185,0;02, .00000567135,0;03, 14.47438,0;04, .3753972,0;
12/1/2016,12:49:49;01, 48.09185,0;02, .00000567135,0;03, 14.47438,0;04, .3753972,0;
12/1/2016,12:49:50;01, 48.11271,0;02, .000007881716,0;03, 14.45568,0;04, .3753972,0;
12/1/2016,12:49:51;01, 48.11966,0;02, .000007523188,0;03, 14.54918,0;04, .3698808,0;
12/1/2016,12:49:52;01, 48.11966,0;02, .000007523188,0;03, 14.54918,0;04, .3698808,0;
12/1/2016,12:49:53;01, 48.10575,0;02, .00001019138,0;03, 14.47438,0;04, .3753972,0;
12/1/2016,12:49:54;01, 48.10575,0;02, .00001019138,0;03, 14.47438,0;04, .3753972,0;
12/1/2016,12:49:55;01, 48.10575,0;02, .00001100971,0;03, 15.01666,0;04, .3753972,0;
12/1/2016,12:49:56;01, 48.07793,0;02, .000008111969,0;03, 14.60528,0;04, .3753972,0;
12/1/2016,12:49:57;01, 48.06403,0;02, .00000841888,0;03, 14.47438,0;04, .3753972,0;
12/1/2016,12:49:58;01, 48.05011,0;02, .000007513076,0;03, 14.45568,0;04, .3753972,0;
12/1/2016,12:49:59;01, 48.05011,0;02, .000007513076,0;03, 14.45568,0;04, .3753972,0;
